relations__type,relations__sentence,relations__score,relations__arguments__text,relations__arguments__location__001,relations__arguments__location__002,relations__arguments__entities__type,relations__arguments__entities__text,relations__arguments__entities__disambiguation__subtype__-,language,keywords__text,keywords__sentiment__score,keywords__sentiment__label,keywords__relevance,keywords__emotion__sadness,keywords__emotion__joy,keywords__emotion__fear,keywords__emotion__disgust,keywords__emotion__anger,entities__type,entities__text,entities__sentiment__score,entities__sentiment__label,entities__relevance,entities__emotion__sadness,entities__emotion__joy,entities__emotion__fear,entities__emotion__disgust,entities__emotion__anger,entities__disambiguation__subtype__001,entities__disambiguation__subtype__002,entities__disambiguation__subtype__003,entities__disambiguation__subtype__004,entities__disambiguation__name,entities__disambiguation__dbpedia_resource,entities__count
,,,,,,,,,,euro,"0,00%",neutral,"85,55%","53,95%","2,83%","27,04%","8,06%","1,21%",,,,,,,,,,,,,,,,,
managerOf,I had to stop working full-time elsewhere in my employer.,"62,27%",my,193,195,Person,my,,en,main problem,"-80,99%",negative,"93,96%","69,15%","1,41%","44,47%","0,59%","5,75%",,,,,,,,,,,,,,,,,
,,,employer,196,204,Organization,employer,,,coup,"-80,99%",negative,"79,16%","69,15%","1,41%","44,47%","0,59%","5,75%",,,,,,,,,,,,,,,,,
,,,,,,,,,,gestures,"0,00%",neutral,"74,95%","10,64%","36,33%","13,63%","7,41%","7,53%",,,,,,,,,,,,,,,,,
managerOf,Do you today by the compensation for your Social Security disability?-A what rate / what amount?,"49,69%",your,37,41,Person,your,,en,Social Security disability,"-71,14%",negative,"92,93%","30,41%","6,37%","19,73%","12,94%","17,33%",HealthCondition,RSI,"-43,67%",negative,"86,27%","30,04%","15,18%","17,54%","3,02%","23,90%",,,,,,,2
,,,Social Security,42,57,Organization,Social Security,Government,,additional medical visits,"0,00%",neutral,"86,80%","8,81%","13,20%","4,84%","7,94%","1,79%",,,,,,,,,,,,,,,,,
participantIn,"What did you do to this occasion (additional medical visits, interviews, statements, etc.)?They went from part-time to full and final 09/30/2015.","67,97%",you,315,318,Person,your,,,approximately.*Your allowance,"0,00%",neutral,"70,43%","18,75%","20,12%","6,28%","4,33%","5,77%",,,,,,,,,,,,,,,,,
,,,interviews,367,377,EventMeeting,interviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,
timeOf,"What did you do to this occasion (additional medical visits, interviews, statements, etc.)?They went from part-time to full and final 09/30/2015.","70,08%",09/30/2015,440,450,Date,09/30/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,interviews,367,377,EventMeeting,interviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,
participantIn,"Just a meeting with the doctor the RSI, and report hospitalization.*Have you noted problems in your compensation?","91,06%",doctor,531,537,Person,doctor,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,meeting,514,521,EventMeeting,meeting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
participantIn,"Just a meeting with the doctor the RSI, and report hospitalization.*Have you noted problems in your compensation?","62,24%",RSI,542,545,Organization,RSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,meeting,514,521,EventMeeting,meeting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employedBy,"Just a meeting with the doctor the RSI, and report hospitalization.*Have you noted problems in your compensation?","36,42%",doctor,531,537,Person,doctor,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,RSI,542,545,Organization,RSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
timeOf,Today these incidents are resolved or password be?,"51,82%",Today,620,625,Date,Today,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,incidents,632,641,EventViolence,incidents,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agentOf,"But if I must say something, it is having to put my wear the morning, without it I could not walk, but every time it is a ritual, which may seem harmless in the eyes of others but is weighing for me.","85,71%",I,81,82,Person,his,,en,positive nature,"81,76%",positive,"90,05%","2,62%","86,19%","1,80%","1,17%","2,90%",Quantity,2 years,"0,00%",neutral,"1,00%",,,,,,,,,,,,1
,,,say,88,91,EventCommunication,say,,,aids,"-8,60%",negative,"75,62%","28,11%","14,12%","46,95%","24,06%","8,42%",,,,,,,,,,,,,,,,,
,,,,,,,,,,fatigue,"-72,83%",negative,"68,58%","77,16%","0,00%","0,00%","0,00%","0,00%",,,,,,,,,,,,,,,,,
partOfMany,Oh yes of course my family came to help me !!!,"33,00%",my,17,19,Person,my,,en,united family,"0,00%",neutral,"91,31%","20,09%","51,06%","4,23%","5,56%","4,49%",,,,,,,,,,,,,,,,,
,,,family,20,26,Person,family,,,worries,"39,37%",positive,"76,77%","15,15%","17,42%","9,37%","7,29%","8,69%",,,,,,,,,,,,,,,,,
spouseOf,"We are a very united family, they helped me from the beginning and they still syndic me what I cannot do, my husband, my daughter.","79,07%",my,152,154,Person,my,,,husband,"0,00%",neutral,"70,97%","0,00%","0,00%","0,00%","0,00%","0,00%",,,,,,,,,,,,,,,,,
,,,husband,155,162,Person,husband,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parentOf,"We are a very united family, they helped me from the beginning and they still syndic me what I cannot do, my husband, my daughter.","87,59%",my,164,166,Person,my,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,daughter,167,175,Person,daughter,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agentOf,In my other do and I would say that for us it is normal!,"87,68%",I,269,270,Person,my,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,say,277,280,EventCommunication,say,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agentOf,My employers were very nice they gave me all the necessary papers when I asked them and were very compassionate when I announced my disease.,"98,99%",I,71,72,Person,My,,en,necessary papers,"0,00%",neutral,"99,57%","21,26%","55,94%","6,21%","1,62%","15,41%",,,,,,,,,,,,,,,,,
,,,asked,73,78,EventCommunication,announced,,,employers,"0,00%",neutral,"83,27%","21,26%","55,94%","6,21%","1,62%","15,41%",,,,,,,,,,,,,,,,,
agentOf,My employers were very nice they gave me all the necessary papers when I asked them and were very compassionate when I announced my disease.,"98,86%",I,117,118,Person,My,,,disease,"0,00%",neutral,"73,88%","21,26%","55,94%","6,21%","1,62%","15,41%",,,,,,,,,,,,,,,,,
,,,announced,119,128,EventCommunication,announced,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,en,terrace,"0,00%",neutral,"93,56%","27,54%","18,60%","14,89%","3,53%","16,55%",Hashtag,#,"0,00%",neutral,"1,00%",,,,,,,,,,,,1
,,,,,,,,,,sun,"0,00%",neutral,"80,16%","27,54%","18,60%","14,89%","3,53%","16,55%",,,,,,,,,,,,,,,,,
affectedBy,"As the servant I have never been confronted with problems related to security sociale.je had only one visit to the recognition of my disability and the next appointment will be in 2018 for the award of the Allocation Temporary Invalidité.depuis 2013, I have reviewed that a doctor at a staff regarding the withdrawal of the small finger does not undergo the views of potential outcomes.","49,83%",my,130,132,Person,doctor,,en,Allocation Temporary Invalidité.depuis,"-59,82%",negative,"94,88%","27,12%","4,64%","28,83%","18,12%","10,24%",,,,,,,,,,,,,,,,,
,,,appointment,157,168,EventPersonnel,appointment,,,potential outcomes,"0,00%",neutral,"69,36%","14,60%","17,39%","6,79%","3,92%","2,87%",,,,,,,,,,,,,,,,,
timeOf,"As the servant I have never been confronted with problems related to security sociale.je had only one visit to the recognition of my disability and the next appointment will be in 2018 for the award of the Allocation Temporary Invalidité.depuis 2013, I have reviewed that a doctor at a staff regarding the withdrawal of the small finger does not undergo the views of potential outcomes.","82,14%",2018,180,184,Date,2018,,,small finger,"0,00%",neutral,"69,33%","14,60%","17,39%","6,79%","3,92%","2,87%",,,,,,,,,,,,,,,,,
,,,appointment,157,168,EventPersonnel,appointment,,,,,,,,,,,,,,,,,,,,,,,,,,,,
awardedTo,"As the servant I have never been confronted with problems related to security sociale.je had only one visit to the recognition of my disability and the next appointment will be in 2018 for the award of the Allocation Temporary Invalidité.depuis 2013, I have reviewed that a doctor at a staff regarding the withdrawal of the small finger does not undergo the views of potential outcomes.","40,59%",award,193,198,EntertainmentAward,award,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Allocation Temporary Invalidité.depuis,206,244,Organization,Allocation Temporary Invalidité.depuis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,en,supplementary Regards,"-57,66%",negative,"95,09%","5,48%","6,74%","5,15%","2,97%","4,15%",HealthCondition,RSI,"-57,66%",negative,"97,07%","5,48%","6,74%","5,15%","2,97%","4,15%",,,,,,,1
,,,,,,,,,,special insurance,"-75,62%",negative,"73,64%","28,81%","7,68%","7,73%","26,39%","9,39%",,,,,,,,,,,,,,,,,
,,,,,,,,,,RSI,"-57,66%",negative,"64,46%","5,48%","6,74%","5,15%","2,97%","4,15%",,,,,,,,,,,,,,,,,
agentOf,"I started to feel big pain in the joints of the upper body but as I had multiple dislocated shoulders I minimize pain in me saying that the deal with children aggravated my douleursc'est due to fall or I am fractured shoulder that additional tests have been demandésj'ai been sick for three years with reviews pushed MRI ARTHRO SCANNER OPERATIONS AFTER BREAKING OF TENDON and the doctor put me on disability Total and definitive (security) problem of my disease is that it is not .... I have often been derided me dealing with faineante .... I try to keep the smile and not to ""pay"" my entourage my fatigue but this is not always easy.","78,36%",me,121,123,Person,my,,en,multiple dislocated shoulders,"-73,44%",negative,"97,22%","47,32%","0,57%","20,75%","14,73%","46,50%",HealthCondition,TENDON,"-73,44%",negative,"89,58%","47,32%","0,57%","20,75%","14,73%","46,50%",,,,,,,1
,,,saying,124,130,EventCommunication,saying,,,MRI ARTHRO SCANNER,"-73,44%",negative,"89,47%","47,32%","0,57%","20,75%","14,73%","46,50%",,,,,,,,,,,,,,,,,
,,,,,,,,,,big pain,"-75,26%",negative,"68,48%","59,06%","4,49%","46,95%","5,86%","4,66%",,,,,,,,,,,,,,,,,
agentOf,I don't know if it's part of your questions but in 2016 530eur The cif daily allowances calculation for the year 2016 revenue apl 2015 or j was also has 530eur I do my request for CMUC a month and end of day I receive a mail me refusing the right to CMU because I exceeds the limits for a single person with the calculation of the PLA (which is already a housing assistance).,"99,56%",my,179,181,Person,person,,en,cif daily allowances,"0,00%",neutral,"90,03%","36,42%","24,68%","6,46%","15,12%","12,18%",Organization,l l Social worker,"-35,27%",negative,"93,16%","29,58%","10,68%","21,99%","7,33%","14,89%",,,,,,,1
,,,request,182,189,EventCommunication,request,,,revenue apl,"0,00%",neutral,"72,34%","36,42%","24,68%","6,46%","15,12%","12,18%",,,,,,,,,,,,,,,,,
residesIn,I don't know if it's part of your questions but in 2016 530eur The cif daily allowances calculation for the year 2016 revenue apl 2015 or j was also has 530eur I do my request for CMUC a month and end of day I receive a mail me refusing the right to CMU because I exceeds the limits for a single person with the calculation of the PLA (which is already a housing assistance).,"41,74%",me,239,241,Person,person,,,tt result,"-35,27%",negative,"70,12%","29,58%","10,68%","21,99%","7,33%","14,89%",,,,,,,,,,,,,,,,,
,,,CMU,264,267,GeopoliticalEntity,CMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,
educatedAt,I don't know if it's part of your questions but in 2016 530eur The cif daily allowances calculation for the year 2016 revenue apl 2015 or j was also has 530eur I do my request for CMUC a month and end of day I receive a mail me refusing the right to CMU because I exceeds the limits for a single person with the calculation of the PLA (which is already a housing assistance).,"34,75%",person,310,316,Person,person,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,PLA,345,348,Organization,PLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agentOf,I know you could be anything but I wanted to inform you because the tt result I know I'll have fought and I don't know if I'll find help from l l Social worker or security!,"89,29%",I,423,424,Person,person,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,inform,435,441,EventCommunication,inform,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affectedBy,I know you could be anything but I wanted to inform you because the tt result I know I'll have fought and I don't know if I'll find help from l l Social worker or security!,"81,50%",you,442,445,Person,person,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,inform,435,441,EventCommunication,inform,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,en,social life,"0,00%",neutral,"95,60%","37,17%","27,98%","30,25%","7,26%","11,33%",,,,,,,,,,,,,,,,,
,,,,,,,,,,tensions,"0,00%",neutral,"68,11%","50,26%","4,75%","18,80%","5,84%","19,57%",,,,,,,,,,,,,,,,,
,,,,,,,,,,drops,"0,00%",neutral,"64,79%","50,26%","4,75%","18,80%","5,84%","19,57%",,,,,,,,,,,,,,,,,
,,,,,,,,,en,past disability janvier2011,"-83,32%",negative,"99,14%","58,00%","2,34%","12,27%","26,37%","8,25%",,,,,,,,,,,,,,,,,
,,,,,,,,,,disability pension,"-83,32%",negative,"88,53%","58,00%","2,34%","12,27%","26,37%","8,25%",,,,,,,,,,,,,,,,,
,,,,,,,,,,readjustment,"-57,66%",negative,"59,70%","19,83%","23,42%","7,08%","7,06%","13,21%",,,,,,,,,,,,,,,,,
agentOf,I have touched a partial disability in 2009 of 270 euros monthly then my medical file was reviewed I have touched a reminder to switch to total disability in April 2014.Je can answer your questions about a indemnisation.Je'm not in activity since 2009 because unfit for work NOT SO indemnité.Aujourd'hui I live with a small retirement since I do not work up e age from my quarters of disability are not counted in friendly social contributions,"99,42%",your,317,321,Person,your,,en,friendly social contributions,"-79,92%",negative,"92,95%","61,40%","7,31%","13,10%","10,96%","8,51%",,,,,,,,,,,,,,,,,
,,,questions,322,331,EventCommunication,questions,,,retirement artisan,"-40,59%",negative,"84,96%","14,71%","3,81%","35,18%","9,61%","9,27%",,,,,,,,,,,,,,,,,
timeOf,I have touched a partial disability in 2009 of 270 euros monthly then my medical file was reviewed I have touched a reminder to switch to total disability in April 2014.Je can answer your questions about a indemnisation.Je'm not in activity since 2009 because unfit for work NOT SO indemnité.Aujourd'hui I live with a small retirement since I do not work up e age from my quarters of disability are not counted in friendly social contributions,"46,96%",2009,381,385,Date,2009,,,retirement income,"-40,59%",negative,"83,23%","14,71%","3,81%","35,18%","9,61%","9,27%",,,,,,,,,,,,,,,,,
,,,questions,322,331,EventCommunication,questions,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agentOf,"I was laying on the request of the doctor's work, without possibility of reclassification in the business yesterday morning I was happiness on your forum without power access and as I said the person who had agreed to participate in this study that the date of my operation was held on June 6 and I am output early in the afternoon I had to see the anaesthetist because two double operations on January 17 operation breakdown tendon above thorny and planing within Right shoulder and operation carpal tunnel law and yesterday Tuesday June 6 operation left shoulder (conflict) tendon which affects the shoulder, so planing within the shoulder to the tendon does not come to be in breach and it also made me carpal tunnel left","99,82%",I,182,183,Person,your,,en,operation breakdown tendon,"0,00%",neutral,"78,75%","9,73%","54,32%","25,08%","11,17%","2,87%",,,,,,,,,,,,,,,,,
,,,said,184,188,EventCommunication,said,,,carpal tunnel law,"0,00%",neutral,"75,49%","9,73%","54,32%","25,08%","11,17%","2,87%",,,,,,,,,,,,,,,,,
agentOf,"I was laying on the request of the doctor's work, without possibility of reclassification in the business yesterday morning I was happiness on your forum without power access and as I said the person who had agreed to participate in this study that the date of my operation was held on June 6 and I am output early in the afternoon I had to see the anaesthetist because two double operations on January 17 operation breakdown tendon above thorny and planing within Right shoulder and operation carpal tunnel law and yesterday Tuesday June 6 operation left shoulder (conflict) tendon which affects the shoulder, so planing within the shoulder to the tendon does not come to be in breach and it also made me carpal tunnel left","44,36%",person,193,199,Person,person,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,agreed,208,214,EventCommunication,agreed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agentOf,"I was laying on the request of the doctor's work, without possibility of reclassification in the business yesterday morning I was happiness on your forum without power access and as I said the person who had agreed to participate in this study that the date of my operation was held on June 6 and I am output early in the afternoon I had to see the anaesthetist because two double operations on January 17 operation breakdown tendon above thorny and planing within Right shoulder and operation carpal tunnel law and yesterday Tuesday June 6 operation left shoulder (conflict) tendon which affects the shoulder, so planing within the shoulder to the tendon does not come to be in breach and it also made me carpal tunnel left","49,52%",who,200,203,Person,person,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,agreed,208,214,EventCommunication,agreed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
timeOf,"I was laying on the request of the doctor's work, without possibility of reclassification in the business yesterday morning I was happiness on your forum without power access and as I said the person who had agreed to participate in this study that the date of my operation was held on June 6 and I am output early in the afternoon I had to see the anaesthetist because two double operations on January 17 operation breakdown tendon above thorny and planing within Right shoulder and operation carpal tunnel law and yesterday Tuesday June 6 operation left shoulder (conflict) tendon which affects the shoulder, so planing within the shoulder to the tendon does not come to be in breach and it also made me carpal tunnel left","71,09%",June 6,534,540,Date,June 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,operation,541,550,EventViolence,operation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,en,helper life,"0,00%",neutral,"95,90%","17,30%","54,01%","3,58%","21,64%","3,42%",,,,,,,,,,,,,,,,,
,,,,,,,,,,specialisé equipment,"0,00%",neutral,"95,45%","17,30%","54,01%","3,58%","21,64%","3,42%",,,,,,,,,,,,,,,,,
,,,,,,,,,,operation,"0,00%",neutral,"80,40%","52,32%","18,98%","36,77%","3,87%","4,33%",,,,,,,,,,,,,,,,,
hasAttribute,The recognition of disabled worker with a disability between 50 and 70 (day to redo the closing of my chevai and dinner place with friends.,"84,49%",worker,138,144,Person,worker,,en,disabled worker,"-58,46%",negative,"97,85%","34,45%","1,96%","2,52%","54,13%","15,47%",,,,,,,,,,,,,,,,,
,,,50 and 70,171,180,Age,50 and 70,,,Good evening,"75,95%",positive,"89,37%","10,67%","70,70%","1,81%","1,10%","1,90%",,,,,,,,,,,,,,,,,
,,,,,,,,,,social security,"0,00%",neutral,"87,46%","8,68%","9,41%","44,96%","5,04%","7,19%",,,,,,,,,,,,,,,,,
agentOf,"Yes Anna, I will expliquer.j' have insurance disability during the contraction of a real estate loan last year when I first my efforts in my health problems, I was advised by my adviser","93,76%",I,255,256,Person,Anna,,en,real estate loan,"-47,02%",negative,"95,17%","48,77%","8,19%","10,56%","5,42%","8,90%",,,,,,,,,,,,,,,,,
,,,advised,261,268,EventCommunication,advised,,,health problems,"-47,02%",negative,"71,05%","48,77%","8,19%","10,56%","5,42%","8,90%",,,,,,,,,,,,,,,,,
parentOf,"Yes Anna, I will expliquer.j' have insurance disability during the contraction of a real estate loan last year when I first my efforts in my health problems, I was advised by my adviser","26,29%",my,272,274,Person,You,,,insurance disability,"-47,02%",negative,"68,00%","48,77%","8,19%","10,56%","5,42%","8,90%",,,,,,,,,,,,,,,,,
,,,adviser,275,282,Person,Anna,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partOfMany,Your family is you came to help from the very beginning?,"31,11%",Your,0,4,Person,Your,,en,wife mas,"0,00%",neutral,"90,30%","12,57%","22,71%","4,78%","8,98%","7,98%",Person,Jarrive,"43,82%",positive,"33,00%","17,53%","69,39%","4,65%","0,42%","5,35%",,,,,,,1
,,,family,5,11,Person,family,,,moralPetite precision,"59,80%",positive,"73,02%","18,98%","27,20%","7,50%","10,18%","16,81%",,,,,,,,,,,,,,,,,
spouseOf,Yes my wife mas sustained morally but not using d pécuniereVotre family you just still using today?,"59,45%",my,60,62,Person,my,,,pécuniereVotre family,"0,00%",neutral,"63,62%","36,51%","36,33%","6,66%","6,15%","8,21%",,,,,,,,,,,,,,,,,
,,,wife,63,67,Person,wife,,,,,,,,,,,,,,,,,,,,,,,,,,,,
managerOf,Jarrive has join the two boutSur what points your family you just help?,"25,68%",your,200,204,Person,your,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,family,205,211,Person,family,,,,,,,,,,,,,,,,,,,,,,,,,,,,
locatedAt,"And of course the washing the head, me prendsdu time, j go very slowly, and j uses once a week a schampoing dry to avoid me wash the head twice by semaine.J lives in a duplex, I fatigue much more vitedu to the Registry of the hip, mount and downhill stairs, + 3rd Floor without asc.C is why, I will move prochainementpour return to a full foot.","77,70%",me,204,206,Person,me,,en,downhill stairs,"-53,16%",negative,"99,73%","59,90%","6,97%","13,00%","1,36%","3,07%",,,,,,,,,,,,,,,,,
,,,duplex,251,257,Facility,duplex,,,prochainementpour return,"0,00%",neutral,"84,26%","26,90%","36,51%","15,98%","11,12%","22,75%",,,,,,,,,,,,,,,,,
,,,,,,,,,,time,"-62,24%",negative,"63,11%","40,14%","43,65%","9,52%","8,52%","6,31%",,,,,,,,,,,,,,,,,
,,,,,,,,,en,home loan,"0,00%",neutral,"91,22%","9,25%","7,04%","4,94%","1,99%","3,94%",,,,,,,,,,,,,,,,,
,,,,,,,,,,life insurance,"0,00%",neutral,"62,08%","9,25%","7,04%","4,94%","1,99%","3,94%",,,,,,,,,,,,,,,,,
,,,,,,,,,en,scanner lumbar puncture,"-45,17%",negative,"98,26%","16,81%","60,24%","7,23%","4,32%","3,63%",,,,,,,,,,,,,,,,,
,,,,,,,,,,reviews,"-45,17%",negative,"20,29%","16,81%","60,24%","7,23%","4,32%","3,63%",,,,,,,,,,,,,,,,,
,,,,,,,,,,radio,"-45,17%",negative,"20,28%","16,81%","60,24%","7,23%","4,32%","3,63%",,,,,,,,,,,,,,,,,
,,,,,,,,,en,medical care pdt,"0,00%",neutral,"98,76%","24,94%","18,32%","8,04%","4,50%","5,73%",,,,,,,,,,,,,,,,,
,,,,,,,,,,scalable disease,"-50,40%",negative,"81,80%","34,49%","14,37%","21,88%","1,95%","8,40%",,,,,,,,,,,,,,,,,
,,,,,,,,,,travail.petit lunch,"0,00%",neutral,"81,52%","24,94%","18,32%","8,04%","4,50%","5,73%",,,,,,,,,,,,,,,,,
locatedAt,"I like the plusc'est really difficult for me to take the subway, the bus, the tram because Lille, transport are very often crowded and there is not seating which is very tiring especially late in the day (many brutality during the stops), during my return close to home, I must walk 500m and sidewalks are paved and in very poor condition (joints are defeated and we often lack of falling, it fatigue the body with the movements in antisaccades)","57,62%",I,0,1,Person,me,,en,brutality,"0,00%",neutral,"59,89%","37,14%","4,79%","15,19%","15,56%","24,02%",Location,Lille,"0,00%",neutral,"33,00%","14,88%","17,96%","9,12%","7,47%","8,85%",City,,,,Lille,http://dbpedia.org/resource/Lille,1
,,,bus,69,72,Vehicle,bus,,,Lille,"0,00%",neutral,"58,66%","14,88%","17,96%","9,12%","7,47%","8,85%",,,,,,,,,,,,,,,,,
timeOf,Mi 2008 suspicion of SEP.Début 2009 SEP gradual confirmation.,"64,74%",2009,77,81,Date,2009,,en,SEP gradual confirmation,"-68,30%",negative,"93,07%","15,02%","14,06%","10,56%","12,59%","8,33%",Quantity,2008 1 °,"0,00%",neutral,"1,00%",,,,,,,,,,,,1
,,,confirmation,94,106,EventPersonnel,confirmation,,,disability av work,"-72,16%",negative,"79,28%","22,64%","11,05%","10,99%","19,78%","14,35%",,,,,,,,,,,,,,,,,
,,,,,,,,,,heavy left leg,"-32,03%",negative,"76,62%","49,80%","20,64%","22,69%","11,94%","3,93%",,,,,,,,,,,,,,,,,
managerOf,"Excuse me Valerie but what we would like to know is how it happened with your employer, when you work, when you have announced your state of health.","50,08%",your,73,77,Person,Valerie,,en,Valerie,"-29,95%",negative,"92,77%","18,00%","6,05%","13,30%","36,60%","29,77%",Person,Valerie,"-29,95%",negative,"33,00%","18,00%","6,05%","13,30%","36,60%","29,77%",,,,,,,1
,,,employer,78,86,Organization,employer,,,employer,"0,00%",neutral,"85,12%","25,67%","6,15%","8,09%","2,36%","6,39%",,,,,,,,,,,,,,,,,
agentOf,"Excuse me Valerie but what we would like to know is how it happened with your employer, when you work, when you have announced your state of health.","72,90%",you,108,111,Person,Valerie,,,state,"0,00%",neutral,"68,23%","9,03%","70,29%","6,64%","4,12%","4,16%",,,,,,,,,,,,,,,,,
,,,announced,117,126,EventCommunication,announced,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,en,bank Credit Agricole,"35,35%",positive,"95,39%","12,62%","44,21%","7,30%","3,03%","5,62%",,,,,,,,,,,,,,,,,
,,,,,,,,,,loan repayments,"-61,08%",negative,"79,94%","19,87%","1,15%","10,17%","2,18%","13,65%",,,,,,,,,,,,,,,,,
,,,,,,,,,,health insurance,"35,35%",positive,"57,49%","12,62%","44,21%","7,30%","3,03%","5,62%",,,,,,,,,,,,,,,,,
affectedBy,Nobody told me that j was going to suffer permanence.ni symptoms that would appear by the suite.j' was depressed.,"54,80%",me,284,286,Person,specialist,,en,specialist rheumatology,"-38,69%",negative,"91,01%","7,53%","3,94%","40,67%","4,14%","7,94%",,,,,,,,,,,,,,,,,
,,,told,279,283,EventCommunication,told,,,permanence.ni symptoms,"-75,46%",negative,"84,42%","69,51%","1,46%","41,06%","1,72%","3,86%",,,,,,,,,,,,,,,,,
,,,,,,,,,,pain,"-79,06%",negative,"69,53%","86,40%","1,64%","24,28%","1,11%","5,79%",,,,,,,,,,,,,,,,,
employedBy,"I was carpenter at the time of my occupational disease, then I was real estate agent, which has nothing to do, and I could use my professional knowledge to be advise seller in DIY stores.","27,39%",my,225,227,Person,My,,en,real estate agent,"0,00%",neutral,"97,08%","24,03%","19,99%","14,30%","10,34%","11,24%",,,,,,,,,,,,,,,,,
,,,stores,278,284,Organization,stores,Commercial,,large element,"-67,87%",negative,"85,85%","13,20%","27,55%","9,58%","7,67%","3,72%",,,,,,,,,,,,,,,,,
locatedAt,"In fact, I was forced to buy a small minivan with which I am above, and automatic box, not need to use my left leg.","83,27%",I,603,604,Person,My,,,DIY stores,"21,17%",positive,"83,79%","4,52%","9,01%","8,22%","0,91%","12,96%",,,,,,,,,,,,,,,,,
,,,minivan,631,638,Vehicle,minivan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
locatedAt,"In fact, I was forced to buy a small minivan with which I am above, and automatic box, not need to use my left leg.","55,55%",I,650,651,Person,My,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,minivan,631,638,Vehicle,minivan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,en,entreprise.A note,"0,00%",neutral,"92,56%","18,91%","32,48%","10,62%","14,24%","5,88%",Quantity,7 years,"0,00%",neutral,"1,00%",,,,,,,,,,,,1
,,,,,,,,,,subscription,"0,00%",neutral,"72,63%","18,91%","32,48%","10,62%","14,24%","5,88%",,,,,,,,,,,,,,,,,
,,,,,,,,,,company,"0,00%",neutral,"57,57%","18,91%","32,48%","10,62%","14,24%","5,88%",,,,,,,,,,,,,,,,,
agentOf,"When I learned that j j had a breakdown of ligaments, j asked my doctor has consequences for the future, it reassured my m explaining that c is a normal operation or there will be no aftermath n, j d have also experienced a person who had been a breakdown of ligaments in his knee, and it n had no consequence later.","57,64%",I,5,6,Person,surgeon,,en,pain CHR Lille,"-34,16%",negative,"99,98%","83,79%","2,50%","5,32%","9,27%","17,00%",,,,,,,,,,,,,,,,,
,,,asked,56,61,EventCommunication,asked,,,doctor,"-46,55%",negative,"83,92%","56,04%","12,82%","25,60%","5,66%","12,24%",,,,,,,,,,,,,,,,,
agentOf,"When I learned that j j had a breakdown of ligaments, j asked my doctor has consequences for the future, it reassured my m explaining that c is a normal operation or there will be no aftermath n, j d have also experienced a person who had been a breakdown of ligaments in his knee, and it n had no consequence later.","89,99%",my,118,120,Person,my,,,ligaments,"0,00%",neutral,"82,37%","23,80%","19,60%","20,25%","10,66%","42,48%",,,,,,,,,,,,,,,,,
,,,explaining,123,133,EventCommunication,explaining,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clientOf,"My doctor my accompanied, and my specified a service anti pain CHR Lille, I am made my, my given treatment for the pain, it was less intense but I still felt a little, and I could not take this treatment has life.","44,35%",My,334,336,Person,person,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,doctor,337,343,Person,surgeon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
